Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43492000,Couriers and Messengers,5800,7500,1700,0.293
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43493000,Warehousing and Storage,5700,7000,1300,0.228
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,50000000,Information,26700,29700,3000,0.112
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,50511000,Publishing Industries (except Internet),10500,11400,900,0.086
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,50517000,Telecommunications,7000,6700,-300,-0.043
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55000000,Financial Activities,118700,126100,7400,0.062
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55520000,Finance and Insurance,79300,84300,5000,0.063
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55522000,Credit Intermediation and Related Activities,42000,44800,2800,0.067
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55522100,Depository Credit Intermediation,17400,17500,100,0.006
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55522200,Nondepository Credit Intermediation,17100,18700,1600,0.094
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55524000,Insurance Carriers and Related Activities,25000,25400,400,0.016
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55524100,Insurance Carriers,9100,8600,-500,-0.055
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55524200,"Agencies, Brokerages, and Other Insurance Related Activities",15900,16800,900,0.057
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55530000,Real Estate and Rental and Leasing,39400,41800,2400,0.061
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55531000,Real Estate,33100,35700,2600,0.079
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60000000,Professional and Business Services,317000,346500,29500,0.093
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60540000,"Professional, Scientific, and Technical Services",129000,144200,15200,0.118
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541100,Legal Services,16400,16600,200,0.012
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",14900,15800,900,0.06
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541300,"Architectural, Engineering, and Related Services",25400,27200,1800,0.071
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541500,Computer Systems Design and Related Services,22400,25600,3200,0.143
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541600,"Management, Scientific, and Technical Consulting Services",26100,31100,5000,0.192
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60550000,Management of Companies and Enterprises,36700,38700,2000,0.054
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,151300,163600,12300,0.081
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561000,Administrative and Support Services,146400,158300,11900,0.081
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561300,Employment Services,73200,80200,7000,0.096
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561600,Investigation and Security Services,10200,11300,1100,0.108
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561700,Services to Buildings and Dwellings,35100,38100,3000,0.085
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60562000,Waste Management and Remediation Services,4900,5300,400,0.082
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",224700,263600,38900,0.173
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65610000,Educational Services (Private),29300,33900,4600,0.157
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65611300,"Colleges, Universities, and Professional Schools",6500,7600,1100,0.169
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65620000,Health Care and Social Assistance,195400,229700,34300,0.176
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65621000,Ambulatory Health Care Services,87000,105400,18400,0.211
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65622000,Hospitals (Private),32900,37000,4100,0.125
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65623000,Nursing and Residential Care Facilities,27300,30700,3400,0.125
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65624000,Social Assistance,48200,56600,8400,0.174
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70000000,Leisure and Hospitality,222600,242200,19600,0.088
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70710000,"Arts, Entertainment, and Recreation",51000,56500,5500,0.108
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70713000,"Amusement, Gambling, and Recreation Industries",43700,48700,5000,0.114
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70720000,Accommodation and Food Services,171700,185700,14000,0.082
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70721000,Accommodation,25800,26100,300,0.012
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70722000,Food Services and Drinking Places,145900,159600,13700,0.094
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70722500,Restaurants and Other Eating Places,138500,151300,12800,0.092
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),51400,53700,2300,0.045
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90000000,Government,161200,166600,5400,0.033
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90910000,Federal Government,11100,11200,100,0.009
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90940000,State and Local Government,150200,155400,5200,0.035
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90920000,State Government,32000,33900,1900,0.059
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90921611,State Government Education,21400,23200,1800,0.084
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90922000,State Government Excluding Education,10600,10700,100,0.009
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90930000,Local Government,118200,121500,3300,0.028
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90931611,Local Government Education,76400,78400,2000,0.026
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90932000,Local Government Excluding Education,41800,43100,1300,0.031
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,000001,Total Employment,349300,382200,32900,0.094
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,006010,Self Employment,19500,20700,1200,0.062
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,008010,Private Household Workers,100,300,200,2
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,11000000,Total Farm,62400,66700,4300,0.069
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,0,Total Nonfarm,267300,294500,27200,0.102
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,10000000,Mining and Logging,9300,9200,-100,-0.011
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,20000000,Construction,15900,18600,2700,0.17
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,30000000,Manufacturing,13200,13900,700,0.053
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,31000000,Durable Goods Manufacturing,4800,5100,300,0.063
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,32000000,Nondurable Goods Manufacturing,8400,8800,400,0.048
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,32311000,Food Manufacturing,5700,6000,300,0.053
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,40000000,"Trade, Transportation, and Utilities",53300,59200,5900,0.111
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,41000000,Wholesale Trade,8300,9000,700,0.084
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42000000,Retail Trade,31800,32900,1100,0.035
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42445000,Food and Beverage Stores,6300,6900,600,0.095
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42448000,Clothing and Clothing Accessories Stores,3100,2600,-500,-0.161
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42452000,General Merchandise Stores,6600,6800,200,0.03
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42452200,Department Stores,1900,1300,-600,-0.316
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",13200,17200,4000,0.303
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,50000000,Information,2000,2100,100,0.05
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,55000000,Financial Activities,7600,8000,400,0.053
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,55520000,Finance and Insurance,4400,4300,-100,-0.023
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,55530000,Real Estate and Rental and Leasing,3100,3700,600,0.194
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60000000,Professional and Business Services,27200,30300,3100,0.114
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60540000,"Professional, Scientific, and Technical Services",9500,10500,1000,0.105
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60550000,Management of Companies and Enterprises,3400,4100,700,0.206
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,14400,15800,1400,0.097
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",38100,46000,7900,0.207
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65610000,Educational Services (Private),1700,1900,200,0.118
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65620000,Health Care and Social Assistance,36400,44100,7700,0.212
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65621000,Ambulatory Health Care Services,13700,17200,3500,0.255
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65622000,Hospitals (Private),8200,9600,1400,0.171
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70000000,Leisure and Hospitality,26700,29300,2600,0.097
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70710000,"Arts, Entertainment, and Recreation",2500,2700,200,0.08
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70720000,Accommodation and Food Services,24200,26600,2400,0.099
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70722000,Food Services and Drinking Places,22300,24300,2000,0.09
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70722500,Restaurants and Other Eating Places,21400,23400,2000,0.093
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),7900,8500,600,0.076
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90000000,Government,66100,69300,3200,0.048
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90910000,Federal Government,10600,10200,-400,-0.038
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90940000,State and Local Government,55500,59200,3700,0.067
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90920000,State Government,10200,10500,300,0.029
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90921611,State Government Education,1800,1800,0,0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90922000,State Government Excluding Education,8400,8700,300,0.036
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90930000,Local Government,45300,48700,3400,0.075
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90931611,Local Government Education,30400,32100,1700,0.056
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90932000,Local Government Excluding Education,14900,16600,1700,0.114
State,California,2018-2028,000001,Total Employment,18825900,20412500,1586600,0.084
State,California,2018-2028,006010,Self Employment,1197100,1286000,88900,0.074
State,California,2018-2028,008010,Private Household Workers,34400,31000,-3400,-0.099
State,California,2018-2028,11000000,Total Farm,421800,431400,9600,0.023
State,California,2018-2028,0,Total Nonfarm,17172600,18664100,1491500,0.087
State,California,2018-2028,10000000,Mining and Logging,22400,21100,-1300,-0.058
State,California,2018-2028,10113300,Logging,2100,1900,-200,-0.095
State,California,2018-2028,10210000,"Mining, Quarrying, and Oil and Gas Extraction",20400,19200,-1200,-0.059
State,California,2018-2028,10211000,Oil and Gas Extraction,4800,4300,-500,-0.104
State,California,2018-2028,10212000,Mining (except Oil and Gas),5800,5400,-400,-0.069
State,California,2018-2028,10213000,Support Activities for Mining,9800,9500,-300,-0.031
State,California,2018-2028,20000000,Construction,860200,944600,84400,0.098
State,California,2018-2028,20236000,Construction of Buildings,196500,219200,22700,0.116
State,California,2018-2028,20236100,Residential Building Construction,114700,133500,18800,0.164
State,California,2018-2028,20236200,Nonresidential Building Construction,81800,85700,3900,0.048
State,California,2018-2028,20237000,Heavy and Civil Engineering Construction,90300,96300,6000,0.066
State,California,2018-2028,20237100,Utility System Construction,47700,51500,3800,0.08
State,California,2018-2028,20237200,Land Subdivision,7000,6900,-100,-0.014
State,California,2018-2028,20237300,"Highway, Street, and Bridge Construction",25600,27400,1800,0.07
State,California,2018-2028,20237900,Other Heavy and Civil Engineering Construction,10000,10500,500,0.05
State,California,2018-2028,20238000,Specialty Trade Contractors,573300,629100,55800,0.097
State,California,2018-2028,20238100,"Foundation, Structure, and Building Exterior Contractors",129000,139100,10100,0.078
State,California,2018-2028,20238200,Building Equipment Contractors,234800,260000,25200,0.107
State,California,2018-2028,20238300,Building Finishing Contractors,142000,159300,17300,0.122
State,California,2018-2028,20238900,Other Specialty Trade Contractors,67500,70700,3200,0.047
State,California,2018-2028,30000000,Manufacturing,1323100,1301100,-22000,-0.017
State,California,2018-2028,31000000,Durable Goods Manufacturing,845400,834600,-10800,-0.013
State,California,2018-2028,31321000,Wood Product Manufacturing,25400,24000,-1400,-0.055
State,California,2018-2028,31321900,Other Wood Product Manufacturing,18000,17200,-800,-0.044
State,California,2018-2028,31332000,Fabricated Metal Product Manufacturing,132900,126400,-6500,-0.049
State,California,2018-2028,31332300,Architectural and Structural Metals Manufacturing,33700,32500,-1200,-0.036
State,California,2018-2028,31332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",43100,41700,-1400,-0.032
State,California,2018-2028,31332900,Other Fabricated Metal Product Manufacturing,18000,17000,-1000,-0.056
State,California,2018-2028,31333000,Machinery Manufacturing,77300,78500,1200,0.016
State,California,2018-2028,31333200,Industrial Machinery Manufacturing,20500,24100,3600,0.176
State,California,2018-2028,31333300,Commercial and Service Industry Machinery Manufacturing,11800,10900,-900,-0.076
State,California,2018-2028,31333500,Metalworking Machinery Manufacturing,12200,11100,-1100,-0.09
State,California,2018-2028,31333900,Other General Purpose Machinery Manufacturing,15500,14200,-1300,-0.084
State,California,2018-2028,31334000,Computer and Electronic Product Manufacturing,278400,276800,-1600,-0.006
State,California,2018-2028,31334100,Computer and Peripheral Equipment Manufacturing,74500,80400,5900,0.079
State,California,2018-2028,31334200,Communications Equipment Manufacturing,18300,14300,-4000,-0.219
State,California,2018-2028,31334400,Semiconductor and Other Electronic Component Manufacturing,86500,77400,-9100,-0.105
State,California,2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",88000,94900,6900,0.078
State,California,2018-2028,31335000,"Electrical Equipment, Appliance, and Component Manufacturing",33000,31800,-1200,-0.036
State,California,2018-2028,31336000,Transportation Equipment Manufacturing,127700,133100,5400,0.042
State,California,2018-2028,31336100,Motor Vehicle Manufacturing,18900,25800,6900,0.365
State,California,2018-2028,31336400,Aerospace Product and Parts Manufacturing,76000,77500,1500,0.02
State,California,2018-2028,31336600,Ship and Boat Building,8500,7500,-1000,-0.118
State,California,2018-2028,31337000,Furniture and Related Product Manufacturing,34900,28800,-6100,-0.175
State,California,2018-2028,31337100,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,21700,17500,-4200,-0.194
State,California,2018-2028,31339000,Miscellaneous Manufacturing,86200,88100,1900,0.022
State,California,2018-2028,31339100,Medical Equipment and Supplies Manufacturing,54400,58500,4100,0.075
State,California,2018-2028,31339900,Other Miscellaneous Manufacturing,31700,29600,-2100,-0.066
State,California,2018-2028,32000000,Nondurable Goods Manufacturing,477700,466500,-11200,-0.023
State,California,2018-2028,32311000,Food Manufacturing,161400,162700,1300,0.008
State,California,2018-2028,32311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,27900,25200,-2700,-0.097
State,California,2018-2028,32311500,Dairy Product Manufacturing,17700,18000,300,0.017
State,California,2018-2028,32311600,Animal Slaughtering and Processing,22100,22400,300,0.014
State,California,2018-2028,32311800,Bakeries and Tortilla Manufacturing,43700,42800,-900,-0.021
State,California,2018-2028,32311900,Other Food Manufacturing,33600,37100,3500,0.104
State,California,2018-2028,32312000,Beverage and Tobacco Product Manufacturing,63600,76800,13200,0.208
State,California,2018-2028,32313000,Textile Mills,6200,4500,-1700,-0.274
State,California,2018-2028,32314000,Textile Product Mills,8600,7400,-1200,-0.14
State,California,2018-2028,32315000,Apparel Manufacturing,37100,27300,-9800,-0.264
State,California,2018-2028,32315100,Apparel Knitting Mills,1000,800,-200,-0.2
State,California,2018-2028,32315200,Cut and Sew Apparel Manufacturing,33600,24500,-9100,-0.271
State,California,2018-2028,32322000,Paper Manufacturing,21300,19900,-1400,-0.066
State,California,2018-2028,32322200,Converted Paper Product Manufacturing,20100,18900,-1200,-0.06
State,California,2018-2028,32323000,Printing and Related Support Activities,39200,32300,-6900,-0.176
State,California,2018-2028,32324000,Petroleum and Coal Products Manufacturing,13000,10500,-2500,-0.192
State,California,2018-2028,32325000,Chemical Manufacturing,80700,83500,2800,0.035
State,California,2018-2028,32325400,Pharmaceutical and Medicine Manufacturing,46800,49000,2200,0.047
State,California,2018-2028,32325600,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",12100,12900,800,0.066
State,California,2018-2028,40000000,"Trade, Transportation, and Utilities",3047900,3206300,158400,0.052
State,California,2018-2028,41000000,Wholesale Trade,698900,724200,25300,0.036
State,California,2018-2028,41423000,"Merchant Wholesalers, Durable Goods",356800,361000,4200,0.012
State,California,2018-2028,41423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,40900,40700,-200,-0.005
State,California,2018-2028,41423200,Furniture and Home Furnishing Merchant Wholesalers,21600,22600,1000,0.046
State,California,2018-2028,41423300,Lumber and Other Construction Materials Merchant Wholesalers,24100,25200,1100,0.046
State,California,2018-2028,41423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,81800,83000,1200,0.015
State,California,2018-2028,41423600,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,49900,51200,1300,0.026
State,California,2018-2028,41423700,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",28500,29800,1300,0.046
State,California,2018-2028,41423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",55300,56000,700,0.013
State,California,2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",297300,329000,31700,0.107
State,California,2018-2028,41424100,Paper and Paper Product Merchant Wholesalers,15200,12400,-2800,-0.184
State,California,2018-2028,41424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",40600,43800,3200,0.079
State,California,2018-2028,41424400,Grocery and Related Product Merchant Wholesalers,113300,129500,16200,0.143
State,California,2018-2028,41424600,Chemical and Allied Products Merchant Wholesalers,14900,16400,1500,0.101
State,California,2018-2028,41424900,Miscellaneous Nondurable Goods Merchant Wholesalers,48900,51200,2300,0.047
State,California,2018-2028,41425000,Wholesale Electronic Markets and Agents and Brokers,44800,34200,-10600,-0.237
State,California,2018-2028,42000000,Retail Trade,1684300,1692100,7800,0.005
State,California,2018-2028,42441000,Motor Vehicle and Parts Dealers,201200,204200,3000,0.015
State,California,2018-2028,42441100,Automobile Dealers,134600,138700,4100,0.03
State,California,2018-2028,42441200,Other Motor Vehicle Dealers,12900,13500,600,0.047
State,California,2018-2028,42441300,"Automotive Parts, Accessories, and Tire Stores",53600,52000,-1600,-0.03
State,California,2018-2028,42442000,Furniture and Home Furnishings Stores,55000,57100,2100,0.038
State,California,2018-2028,42442100,Furniture Stores,21900,22400,500,0.023
State,California,2018-2028,42442200,Home Furnishings Stores,33100,34700,1600,0.048
State,California,2018-2028,42443000,Electronics and Appliance Stores,62900,55400,-7500,-0.119
State,California,2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,125500,131400,5900,0.047
State,California,2018-2028,42444100,Building Material and Supplies Dealers,114200,119600,5400,0.047
State,California,2018-2028,42445000,Food and Beverage Stores,357700,377600,19900,0.056
State,California,2018-2028,42445100,Grocery Stores,313900,338600,24700,0.079
State,California,2018-2028,42445200,Specialty Food Stores,27400,21300,-6100,-0.223
State,California,2018-2028,42445300,"Beer, Wine, and Liquor Stores",16400,17700,1300,0.079
State,California,2018-2028,42446000,Health and Personal Care Stores,116600,123100,6500,0.056
State,California,2018-2028,42447000,Gasoline Stations,62400,65400,3000,0.048
State,California,2018-2028,42448000,Clothing and Clothing Accessories Stores,194200,166500,-27700,-0.143
State,California,2018-2028,42448100,Clothing Stores,150800,128500,-22300,-0.148
State,California,2018-2028,42448300,"Jewelry, Luggage, and Leather Goods Stores",15700,13100,-2600,-0.166
State,California,2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",62100,50700,-11400,-0.184
State,California,2018-2028,42451100,"Sporting Goods, Hobby, and Musical Instrument Stores",53100,44800,-8300,-0.156
